;username;tweet;orang 1;orang 2;orang 3;hasil;;;;;;;;
1579798098746180000;marinir_tni_al;pertahankan kemampuan atlet renang bajra ghosa latihan secara konsisten;1;1;1;1;;;;;;;;
1583374923770210000;Widiawati2944;sukaaaa karena beliau dari tni dan klo mnjdi panglima itu byk link'y daratlautudara udah mnjdi jangkauannya gk sulit lg bila mnghandle negara ini klo aset dan gagah itu bonuzz ea stp yg memiliki klbhn psti memiliki kkurangn juga;1;1;1;1;;;;;;;;
1581805441868500000;thenextbatutah;debus berkedok tentara;-1;0;-1;-1;;;;;;;;
1583277519645530000;Kodim0815Mjk;dandim 0815/mojokerto letkol inf beni asman ssos mh diwakili kasdim 0815/mojokerto mayor arh gn putu ardana ss menggelar kegiatan rapat koordinasi rakor persiapan pelaksanaan lomba burung gowes dan konser amal dalam rangka hut tni ke-77;0;0;0;0;;;;;;#DIV/0!;;
1580096845984210000;isntdap;yg kmrin spill mas baju tentara😟😟;0;0;0;0;;;;;;;;
1580021325560970000;KompasTV;untuk majukan perekonomian warga tni buka akses jalan sejauh 17 km di kabupaten bogor;1;0;1;1;;;;;;;;
1582382510352220000;TentaraRakyat;rezim ini memang antek pki semua;-1;-1;0;-1;;;;;;;;
1582401763587810000;Tentara_Lebah;congor tinja macam kau ini sudah betul cocoknya jadi jasa sedot tinja aja gunrompeli;-1;-1;-1;-1;;;;;;;;
1582849556810960000;mochijwoos;rumahku emg deket bandara adisutjipto dulu ibuku bilang emg latihan marching bandnya tni au tapi kenapa dini hari/pagi2 buta bgt gitu;-1;0;-1;-1;;;;;;;;
1579774744064570000;niknikkss;gatau pokoknya dikepalaku dowoon kaya tentara yang berjuang di novel pachinko walopun di novelnya gaada bahas tentara samsek;0;1;0;0;;;;;;;;
1580323969596470000;okezonenews;pelatihan bektram tingkatkan sdm berkualitas dan berdaya guna ;1;0;1;1;;;;;;#DIV/0!;;
1580389894433540000;mukhsin77610891;jaya selalu tni ayam jantan dari timur;1;0;0;0;;;;;;#DIV/0!;;
1582227471415520000;essemmuu;polri dan tni langsung terjun ke wilayah yg terdampak bencana untuk membantu para masyarakat sebagai wujud polri sigap peduli bencana;1;1;1;1;;;;;;#DIV/0!;;
1579750352358080000;Humaspolsekmer1;tni - polri bersama bahu membahu membersihkan matrial pasca bencana alam angin puting beliung yang melanda ngawi jatim;1;1;1;1;;;;;;#DIV/0!;;
1580941477328260000;dinkesJKT;gubernur dki jakarta anies baswedan mengapresiasi dan menyerahkan sertifikat bagi seluruh kolaborator rumah sakit dki jakarta baik rsud rs swasta rs bumn rs tni/polri serta rs vertikal di balai agung balai kota jakarta jumat 14/10/2022 kolab…;1;1;1;1;;;;;;#DIV/0!;;
1580465149122860000;PerumPerhutani;perhutani bersama yonif raider 321/gt laksanakan penanaman bersama dalam rangka hut tni ke-77 di majalengka;0;1;1;1;;;;;;#DIV/0!;;
1582887778936770000;emoshibersan;kamu gih lari² pagi gitu sambil cuci mata liat mas² tentara 😆;0;0;0;0;;;;;;#DIV/0!;;
1581440095277970000;Wongkuno2B;karena latar belakang kpk katanya perlakuan dihadapan hukum sama tapi kenyataan tidak sama tebang pilih gmna tdk marah ? pasal ampuh adalah pasal viral jalan terakhir mosi eks ksau serang balik kpk;-1;-1;-1;-1;;;;;;#DIV/0!;;
1581882194574050000;dim0707wonosobo;kodim 0707/wonosobo bersholawat dalam rangka hut tni ke 77;0;0;0;0;;;;;;#DIV/0!;;
1580305194302120000;Lamana18290144;karanganyar - upacara pembukaan tmmd tni manunggal membangun desa sengkuyung tahap iii tahun 2022 dengan mengusung tema tmmd dedikasi terbaik membangun nkri bertempat di lapangan jatikuwung gondangrejo selasa 11 oktober 2022;0;0;0;0;;;#DIV/0!;#DIV/0!;#DIV/0!;#DIV/0!;;
1582227515967690000;Yafinda1;polri dan tni bersama sama menangani bencana banjir yang saat ini sering terjadi karena curah hujan yang tinggi polri sigap peduli bencana;1;1;1;1;;;;;;;;
1581862468426800000;ila_dala;listrik sudah diperbaiki semoga kehadiran tni di distrik kelila ini dapat membuat masyarakat lebih aman ksad jenderal dudung acbdurachman angkatan darat di hati rakyat tulus utamakan rakyat;1;1;1;1;;;;;;;;
