Tweet ID;User;Tweet;orang 1;orang 2;orang 3;hasil
1582642800512110000;ThePhraseID;pt pgn tbk sebagai subholding gas pertamina menyepakati kerja sama pengembangan biomethane bersama pt kis biofuels indonesia thephraseid pertamina pgn bumn biomethane;0;0;0;0
1582642707599480000;rzknrsnd;udeh urusin noh pertamina katanya rugi mulu;-1;-1;-1;-1
1582642693234390000;kotaksegiempat;hahahahaha sedeng kalo bahasa solo artinya muat bang tapi emang seringnya orang kuat beli alphard karena ada fasilitas kredit tp kalo beli bbm ga ada pertamina paylater 🤣🤣;0;0;0;0
1582642654445060000;JonThor777;pertamina apa kabar masih rugi kah;-1;0;-1;-1
1582641677445270000;WartaEkonomi;bei berpotensi ditunjuk jadi penyelenggara bursa karbon oleh pertamina;0;0;0;0
1582641457889880000;pakmul63;"berikut hasil pengukuran sampel diambil di tangerang banten: spbu pertamina dan vivo untuk pertalite- dan revvo- diukur di sucifindo ( haru kerja) 
 mohon dicermati";0;0;0;0
1582641260908940000;tribunbatamku;kapolsek belakang padang dan personel melakukan patroli di wilayah objek vital pertamina pulau sambu dan mercusuar batas negeri;0;0;0;0
1582641221708960000;Santri_Klaten;") selama duduk di dpr ri doni akbar turut aktif dalam beberapa kerja-kerja legislasi parlemen di antaranya adalah rapat dengar pendapat dengan direktur utama pt pertamina (persero) terkait restrukturisasi anak perusahaan
 golkarpedia airlanggahartarto golkar";1;1;1;1
1582641106260750000;IDbelasting;intip pemohon sengketa pajak besok ada pertamina japfa mattel dan hero hukum perpajakan pengadilan pajak litigasi;0;0;0;0
1582640444856370000;JhonDoe60200248;hehehehe ahok sdh tenang di pertamina move on dnk😌 apakah blm ada bahan buat membully pj gub 😝 ayo bisa yuk kamu bisaaah;-1;1;-1;-1
1582640223942750000;tempodotco;knkt menyatakan bahwa penyebab kecelakaan maut truk pertamina di cibubur bukanlah dari segi kendaraan maupun kondisi jalan tempootomotif;0;0;0;0
1582640171362980000;langitseisinya;betul jos tambalan pertamina awet pol;1;1;1;1
