Tweet ID;User;Tweet;Labelling : zahri;Orang 2;orang 3;hasil;;;;;;;;;;;;;;;;;;;
1586677971691003904;Made Putra Danahita;"Masa baru kemarin beli pertamax 50rb udah habis...
Ga bers nih spbu 🥲";-1;-1;;-1;;;;;;;;;;;;;;;;;;;
1586677596116332544;scarlet;@worksfess - pulsaku xl prioritas yg tagihannya 80-100k sebulan, motorku scoopy, bensin pertamax 25k sekali isi, se… https://t.co/sDoQKXYnYC;0;0;;0;;;;;;;;;;;;;;;;;;;
1586674225066430464;The Randomers;Kalau aku TSnya kamu selalu jadi yang pertamax;1;0;0;0;;;;;;;;;;;;;;;;;;;
1586674098528456704;El-Laron;@Dedearta666 pertamax😂;1;0;0;0;;;;;;;;;;;;;;;;;;;
1586672331518533632;Sagafoods;Cemilan pertamax harga premium?SKCM jawabannya https://t.co/G6ghSuSPOZ;1;0;0;0;;;;;;;;;;;;;;;;;;;
1586670518849052672;Begenk;@redvelvettlate Minum pertamax;0;0;;0;;;;;;;;;;;;;;;;;;;
1586667803687325696;Ariesta 🐧🦒;@gamepagne isi pertamax 50k aja berasa lebih cepet habis setelah harga naik 🥲;-1;-1;;-1;;;;;;;;;;;;;;;;;;;
1586666184069480448;Daffa Fauzan;tiada pertamax diantara kita;-1;0;0;0;;;;;;;;;;;;;;;;;;;
1586661040271814656;Besto10;"@susipudjiastuti Jadi harga eceran minyak rakyat bisa turun ga Bu Susi..
Ideal nya berapa harga per liter Pertamax";0;0;;0;;;;;;;;;;;;;;;;;;;
1586655475827101704;piki;pertamax mahal, yang murah orang ketiga.;-1;-1;;-1;;;;;;;;;;;;;;;;;;;
1586654960036368386;bobabrown;Namanya jg idup kadang pertalite kadang pertamax https://t.co/fS0XjIaWFc;0;0;;0;;;;;;;;;;;;;;;;;;;
1586652719309557761;basi;@arerihan @dewa_dennis @shitlicious Kalo kecampur pertalite sama Pertamax, berpengaruh gak ya bang? Kadang2 antrinya pertalite gak ngotakk;-1;-1;;-1;;;;;;;;;;;;;;;;;;;
1586649525539987456;Pertamax Series ID;@sogolisme_ Hai, sobat. Pembelian Pertamax Turbo menggunakan MyPertamina akan mendapatkan 10 poin/liter. Silakan ce… https://t.co/G5yrxzhYB2;1;1;;1;;;;;;;;;;;;;;;;;;;
1586645901397098499;🍀 rejeki berdatangan 🍀;@pertamaxseries Kalo Vario 160 cocok tidak min pake pertamax?;0;0;;0;;;;;;;;;;;;;;;;;;;
1586645698803826689;Kun Fayakun 🙏;@pertamaxseries Berapa poin yang didapatkan kalo isi pertamax turbo ya;0;0;;0;;;;;;;;;;;;;;;;;;;
