id;username;content;clean;orang 1;orang 2;orang 3;hasil;;;
1586275510690217986;fendy_070L;Saking ga punya prestasinya, mohon2 nyogok rakyat dgn bansos 🤭;saking ga punya prestasinya nyogok rakyat dgn bansos;-1;-1;-1;-1;;;
1586275313180233728;setsunavie;Lah perusahaan bayar iuran BPJS buat karyawan itu WAJIB, ini kok mau motong duit bansos buat gantiin duit perusahaan?? Direktur bikin surat ginian konsul ke HR or Legal ga sih? 🙃;lah perusahaan bayar iuran bpjs buat karyawan itu wajib ini kok mau motong duit bansos buat gantiin duit perusahaan direktur bikin surat ginian konsul ke hr or legal ga sih;-1;-1;-1;-1;;;
1586274612928970752;Bukanyezaayap;@williambaehaqi @aldyannn @MFauzanTresna Tingali baturan maraneh cuerik na siga jelema meunang bansos😓 https://t.co/RaKfE2R5Cj;tingali baturan maraneh cuerik na siga jelema meunang bansos;0;0;-1;0;;;
1586269263735803904;cendananews;Mbah Ngadikem senang dapat bansos dari Koperasi Tamanmartani https://t.co/BvHMyghHp4;mbah ngadikem senang dapat bansos dari koperasi tamanmartani;1;1;0;1;;;
1586266743529668608;GME_Lee77;"@J0kerWedok @Achmadbinyahya1 @moh_aak @DivHumas_Polri @CCICPolri @2Diredja @KasniAura @FujieZamma @AntoniusCDN @anton_wka @cahh_keplek @KekerNo @BuayaUbanan Namanya aja kadrun sungsang....
Teriak kencenk otax kopong.
Bansos paling depan.
Terutama nasbung lengkuas rasa rendang...🤣😂🤣😂 https://t.co/tjgyBLtuT6";namanya aja kadrun sungsang teriak kencenk otax kopong bansos paling depan terutama nasbung lengkuas rasa rendang;-1;-1;-1;-1;;;
1586262329833902080;monaeph;"@ephthoma Bansos bansos, sekarang gw baik jadi tambah duit kalian 40 juta yes
Lanjut dah @diluceph vs @ventieph boti and hihim, go place your bet yak sampai 14.48!!";bansos sekarang gw baik jadi tambah duit kalian juta yes lanjut dah vs boti and hihim go place your bet yak sampai;1;1;1;1;;;
1586262243125039104;zappy20121;"@kebohejoreborn Utang sing nyaur yo rakyat. Makanya santai saja 😁
Shrsny instansi2 mikir dari awal ngajukan anggaran bnr2 buat direalisasikan utk kepentingan rakyat. Tp ini wakanda, bansos pandemi saja tega dikorupsi 🤭";utang sing nyaur yo rakyat makanya santai saja shrsny mikir dari awal ngajukan anggaran buat direalisasikan utk kepentingan rakyat tp ini wakanda bansos pandemi saja tega dikorupsi;-1;-1;-1;-1;;;
1586259400708460544;bagsdmdenpasar;"Empati Korban Rumah Roboh diKampung Jawa, Kapolsek Denut Serahkan Bansos. .
.
.
Cek beritanya ⤵️
.
.
https://t.co/z9AOXiLoOE https://t.co/YDXvfilIim";empati korban rumah roboh dikampung jawa kapolsek denut serahkan bansos cek beritanya;1;1;0;1;;;
1586257900413992963;pawpisang;@paimonfess bulan ini banyak bansos, kanan bulan2 biasa https://t.co/EfvCsslX1V;bulan ini banyak bansos kanan biasa;1;1;1;1;;;
1586257147876511744;AloysiusCandra;@BackMrbobo @denyitKasur @AyaniMel hanya dari kader partay merah, koruptor BANSOS. korupsi yg masif, terstruktur, terencana, dan sistemik, dilakukan oleh yg PALING punya KEWENANGAN dan KEKUASAAN. harusnya diganjar HUKUMAN MATI. https://t.co/tro2OWfOP1;hanya dari kader partay merah koruptor bansos korupsi yg masif terstruktur terencana dan sistemik dilakukan oleh yg paling punya kewenangan dan kekuasaan harusnya diganjar hukuman mati;-1;-1;-1;-1;;;
1586255903988518912;tumim_urim;@sutanmangara Kadrun otaknya ruwet, giliran bansos ngantri paling depan.. 🤣🤣🤣😜😜🤪 https://t.co/F3E0ivSSDq;kadrun otaknya ruwet giliran bansos ngantri paling depan;-1;-1;-1;-1;;;
1586255840289632257;adiyatnika;@bread_selling korupsi bansos mah levelnya bajingan diatas bajingan, orang2 lagi kena musibah ditilep duit bantuannya.;korupsi bansos mah levelnya bajingan diatas bajingan lagi kena musibah ditilep duit bantuannya;-1;-1;-1;-1;;;
1586254510410043392;kalilawar_16;tadi isi bensin disalah satu SPBU Jakut,liat Acil bawa kardus ada tulisanny tolong bantu biaya untk Kakanya yg lagi sakit,hati ini sprti marah ingin brtanya knp bisa minta2 gitu? dmnkah ortunya, RTnya,RWnya,Lurahnya,Camatnya, walikotanya?padahal triliunan negara golontrkan bansos;tadi isi bensin disalah satu spbu jakut liat acil bawa kardus ada tulisanny tolong bantu biaya untk kakanya yg lagi sakit hati ini sprti marah ingin brtanya knp bisa gitu dmnkah ortunya rtnya rwnya lurahnya camatnya walikotanya padahal triliunan negara golontrkan bansos;-1;-1;-1;-1;;;
1586252584750235648;Relaxaja75;@oracel_yuna @WadyaIrbar @abu_waras Blok blok,, gitu aje ciriin kadrun.. gampanggg,, 🤣🤣,, sama satu lagi ngantri bansos paling depan , NO DEBAT 🤣🤣;blok gitu aje ciriin kadrun gampangg sama satu lagi ngantri bansos paling depan no debat;-1;-1;-1;-1;;;
1586252266842902531;bread_selling;Yg berkhianat itu yg korupsi Apalagi korupsi bansos...;yg berkhianat itu yg korupsi apalagi korupsi bansos;-1;-1;-1;-1;;;
1586249165327437824;b_priyambar28;"@Zakky222 @BosPurwa Tol : dijual murah jauh di bawah anggaran
freeport : beli saham 51% dr hutang, pd hal tanpa beli saham, th 2021 konsesi ptfi habis masanya
IKN : maksa diri g’ ada dana, legacy yg salah
formula E : audited by BPK 3x, aman
Bansos : kwajiban negara/hak warga negara [g’ mampu]";tol dijual murah jauh di bawah anggaran freeport beli saham dr hutang pd hal tanpa beli saham th konsesi ptfi habis masanya ikn maksa diri g ada dana legacy yg salah formula e audited by bpk aman bansos kwajiban negara hak warga negara g mampu;-1;-1;-1;-1;;;
1586238820223430656;bimruto;@FFOODFESS kaya bansos;kaya bansos;0;0;0;0;;;
1586233822638931969;ReadOne30777215;E-KTP , BANSOS itu Aib Korupsi Terbesar PDIP.;e ktp bansos itu aib korupsi terbesar pdip;-1;-1;-1;-1;;;
1586228584511082496;IrmaSim08561884;Baglog Menyerahkan Bansos Dari Kapolres Kotawaringin Barat Kepada Masyarakat yang Terdampak Banjir https://t.co/OjSfzC9Vua;baglog menyerahkan bansos dari kapolres kotawaringin barat kepada masyarakat yang terdampak banjir;1;1;1;1;;;
1586226862472429568;fatihel119_el;"@LOVE_AG4EVER__ Nah partai yg melindungi koruptor gak lu bacotin bong..
Harun masiku E KTP
Bansos
Dan segudang kasus korupsi lainya..partaaaiii apa yaaa?? lu mingkem Bae ??. 🤣 Ngotak bong koruptor lebih berbahaya dari iblis";nah partai yg melindungi koruptor gak lu bacotin bong harun masiku e ktp bansos dan segudang kasus korupsi lainya partaaii apa yaa lu mingkem bae ngotak bong koruptor lebih berbahaya dari iblis;-1;-1;-1;-1;;;
1586225113346686976;hamid_amren;Penipuan Berdalih Pemberian Bansos Mencatut Nama Sekda Tarakan, Korbannya Pengurus Musholla https://t.co/xim4O7PyLO lewat @Kayantara.com;penipuan berdalih pemberian bansos mencatut nama sekda tarakan korbannya pengurus musholla lewat com;-1;-1;-1;-1;;;
1586223376011386880;EYANGKAKUNG2021;@hipohan Lanjut madam bansos dan e ktp;lanjut madam bansos dan e ktp;0;0;0;0;;;
1586222832560017408;izraseven;"@ronymaldinidr @EDDYSANTRI @HelmiFelis_ Kirim pasukan eksekusi
Maling Bansos harus dimusnahkan https://t.co/mYqyfAINY3";kirim pasukan eksekusi maling bansos harus dimusnahkan;-1;-1;-1;-1;;;
1586220306859192320;gedearyana;@JustAFreeStyle @Penyok86_ @HariSetiyono9 @mochapip @PakkatDayak Chat palsu?? Wkwkwk, apa perlu gue undang firza, sekalian yg di kandang kambing 😁. Sudah akui saja kalau si rijik cabul memang mesum, kecuali dia mau membuktikan sebaliknya di pengadilan. Ga usah ngomongin koruptor bansos, ga ada hubungannya;chat palsu wkwkwk apa perlu gue undang firza sekalian yg di kandang kambing sudah akui saja kalau si rijik cabul memang mesum kecuali dia mau membuktikan sebaliknya di pengadilan ga usah ngomongin koruptor bansos ga ada hubungannya;-1;-1;-1;-1;;;
1586219690476834816;izraseven;Slogan mereka SAYA PANCASILA tapi maling bansos, menyuap anggota KPU, membunuh anak buah, dagang narkoba. Pancasila disalahgunakan oleh PEJABAT KORUP.;slogan mereka saya pancasila tapi maling bansos menyuap anggota kpu membunuh anak buah dagang narkoba pancasila disalahgunakan oleh pejabat korup;-1;-1;-1;-1;;;
1586218745487585281;jaybagnatara;Busway mangkrak dan korups bansos ? 🤣;busway mangkrak dan korups bansos;-1;-1;-1;-1;;;
1586215560861585408;jaencmin;@voxcdka penerima bansos?;penerima bansos;0;0;0;0;;;
1586213382939561984;Abi_Nerazzurri;"@PosIndonesia Wkwkwkw di pospay malah lebih parah,,, tidak terima bansos katanya.
Pilihan nya cuma tulisan KEMENAKER I🤣🤣 https://t.co/T7HrInE8Qt";wkwkwkw di pospay malah lebih parah tidak terima bansos katanya pilihan nya cuma tulisan kemenaker i;-1;-1;-1;-1;;;
1586213239209107457;Lion87King;"@iwanfals Masih mau milih partai ini 🤭
Harun masiku, bansos, dll
Bukti bahwa partai ini peduli wong cilik. 🤣";masih mau milih partai ini harun masiku bansos dll bukti bahwa partai ini peduli wong cilik;-1;1;1;1;;;
1586212402353549312;writerfreaxzh;@VIVAcoid Iya radikalisme bansos mania;iya radikalisme bansos mania;-1;-1;-1;-1;;;
1586209559680458757;bleghol;@OHMYV3NUS grebek penimbun bansos;grebek penimbun bansos;-1;-1;-1;-1;;;
1586204630563725313;polreslobar;"Silaturrahmi / Sima krama Polres Lombok Barat terhadap Tokoh Agama dan Tokoh Masyarakat Agama Hindu serta penyaluran Bansos berupa paket sembako yang bertempat di Sekretariat Ormas Hindu Prajaniti Lingkungan Babakan, Sabtu (29/10/2022).
#bhabinkamtibmasmitrawarga https://t.co/w8XddTaPCX";silaturrahmi sima krama polres lombok barat terhadap tokoh agama dan tokoh masyarakat agama hindu serta penyaluran bansos berupa paket sembako yang bertempat di sekretariat ormas hindu prajaniti lingkungan babakan sabtu;1;1;1;1;;;
1586204269027344384;Rasambahyar1;@Rachmad44588581 @King63882543 @YuliaRay5 @RiriYanto10 @Tita83079013 Ora paham hukum ora usah mbacott... Penggugat sdh bawa 2 alat bukti. Dan ijazah itu sepele, tdk seruwet korupsi Bansos .. tinggal buka almari tunjukan selesai kalo ga punya y bilang ... Angele nangendi ??? Kirik kabehhh cara berfikire;ora paham hukum ora usah mbacott penggugat sdh bawa alat bukti dan ijazah itu sepele tdk seruwet korupsi bansos tinggal buka almari tunjukan selesai kalo ga punya y bilang angele nangendi kirik kabehh cara berfikire;-1;-1;-1;-1;;;
1586203927825219585;de_monds;@Riiiyyy_ @detikcom Mksud gw, yg antri ipon itu pas bansos jg ikut antri.. beli bensin jg antri di pertalite;mksud gw yg antri ipon itu pas bansos jg ikut antri beli bensin jg antri di pertalite;0;0;0;0;;;
1586203128063352832;ilhamdanial;Bansos dikorupsi serta penyalahgunaan kekuasaan/ kewenangan di berbagai lembaga negara bukti bahwa negara dikelola secara serampangan!;bansos dikorupsi serta penyalahgunaan kekuasaan kewenangan di berbagai lembaga negara bukti bahwa negara dikelola secara serampangan;-1;-1;-1;-1;;;
1586196600858124293;andyydepp;"@VIVAcoid Butuh bertahun2 &amp; intens untuk mendoktrin orang supaya berani berjihad, ini ada ibu rumah tangga yg hari2nya gak pernah ikut pengajian atau bergabung organisasi tertentu, stres bansos gak cair, cerai dgn suami, tiba2 nekat trobos istana bawa pistol kosong, maksudnya apa?";butuh amp intens untuk mendoktrin orang supaya berani berjihad ini ada ibu rumah tangga yg gak pernah ikut pengajian atau bergabung organisasi tertentu stres bansos gak cair cerai dgn suami nekat trobos istana bawa pistol kosong maksudnya apa;-1;-1;-1;-1;;;
1586195066238169088;PresidenSang;@BetaPhi9 @MrPitulo @BocahUdik4 @JulBayur3 Kagak tebalik ???? Lu liat korupsi sekarang, buat bansos aja ditelen, buat tiang sama jalan rel kereta cepat pada ditelen juga, yg mana ngga dikorupsi di rezim ini, sampe anak udag aja dikorupsi;kagak tebalik lu liat korupsi sekarang buat bansos aja ditelen buat tiang sama jalan rel kereta cepat pada ditelen juga yg mana ngga dikorupsi di rezim ini sampe anak udag aja dikorupsi;-1;-1;-1;-1;;;
1586190986077536257;hiroeshy;"Iseng cek wallet penerima BANSOS. Saya menemukan fakta menarik. Karena setiap transaksi bisa dicek oleh siapa saja (asal tau nama akunnya).
Masih aja ada orang 'ngemis' dengan ikutan minta BANSOS 5000 koin. Padahal koin yang dia miliki . . .(setara Rp 4 Miliar) https://t.co/Rm3Uy87iEV";iseng cek wallet penerima bansos saya menemukan fakta menarik karena setiap transaksi bisa dicek oleh siapa saja asal tau nama akunnya masih aja ada orang ngemis dengan ikutan minta bansos koin padahal koin yang dia miliki setara rp miliar;-1;-1;-1;-1;;;
1586188091097632768;Lion87King;"@andi_nas_rullah @PDI_Perjuangan Justru yang masalah itu anggota PDI p Harun masiku apa kabar?!
Partai kebanyakan korupsi mending bubarin, ngeruguin rakyat.
Bilangnya peduli wong cilik, bansos aja di embat. Kan JANCOK 🖕";justru yang masalah itu anggota pdi p harun masiku apa kabar partai kebanyakan korupsi mending bubarin ngeruguin rakyat bilangnya peduli wong cilik bansos aja di embat kan jancok;-1;-1;-1;-1;;;
1586185677057986560;There91780813;@kyalkaff ngantri kek bansos kntl;ngantri kek bansos kntl;-1;-1;-1;-1;;;
1586180956133605376;reallinoarea;@littlejaesix @starfess Buseh kek rebutan bansos 😭😭;buseh kek rebutan bansos;-1;-1;-1;-1;;;
1586178216183549952;PinontoanUtari;@Mi9aWempy Siaaan...msh muda gitu nanyain bansos?? Kan usianya produktif. Bisa kerja apa saja.;siaan msh muda gitu nanyain bansos kan usianya produktif bisa kerja apa saja;0;-1;-1;-1;;;
1586177318778966016;formenkairi2;@Ansutafess Keadaanku saat ini yang krisis daia, HE gaada niat bansos lagi apa 😭😭☝️;keadaanku saat ini yang krisis daia he gaada niat bansos lagi apa;-1;-1;-1;-1;;;
